login;commits;percentage
genuinesounds;2;0.025533001404315078
bricktricker;2;0.025533001404315078
vexatos;2;0.025533001404315078
vazkii;2;0.025533001404315078
valoeghese;2;0.025533001404315078
barteks2x;2;0.025533001404315078
benblank;2;0.025533001404315078
billygalbreath;2;0.025533001404315078
ustc-zzzz;2;0.025533001404315078
uskizzik;2;0.025533001404315078
uristqwerty;2;0.025533001404315078
themuso;2;0.025533001404315078
lomeli12;2;0.025533001404315078
mysticdrew;2;0.025533001404315078
budschie;2;0.025533001404315078
anonymoushacker1279;2;0.025533001404315078
matthewprenger;2;0.025533001404315078
nikita488;2;0.025533001404315078
championash5357;2;0.025533001404315078
tmtravlr;2;0.025533001404315078
aaron1011;2;0.025533001404315078
justred23;2;0.025533001404315078
sekwah41;2;0.025533001404315078
aenterprise;2;0.025533001404315078
clashsoft;2;0.025533001404315078
unbekannt1998;2;0.025533001404315078
tmvkrpxl0;2;0.025533001404315078
chimaine;2;0.025533001404315078
childwalrus;2;0.025533001404315078
me4502;2;0.025533001404315078
tschipp;2;0.025533001404315078
alexiil;2;0.025533001404315078
larsg310;2;0.025533001404315078
melanx;2;0.025533001404315078
apexmodder;2;0.025533001404315078
xalcon;3;0.038299502106472615
thutmose;3;0.038299502106472615
skyboy;3;0.038299502106472615
soaryn;3;0.038299502106472615
cheaterpaul;3;0.038299502106472615
truebrain;3;0.038299502106472615
temp1011;3;0.038299502106472615
darkevilmac;3;0.038299502106472615
clienthax;3;0.038299502106472615
atomicblom;3;0.038299502106472615
micdoodle8;3;0.038299502106472615
zot201;3;0.038299502106472615
girafistudios;3;0.038299502106472615
maruohon;3;0.038299502106472615
madsthunder;3;0.038299502106472615
lxgaming;3;0.038299502106472615
mumfrey;3;0.038299502106472615
krapht;3;0.038299502106472615
jojodeveloping;3;0.038299502106472615
jk-5;3;0.038299502106472615
jaredlll08;3;0.038299502106472615
ivorforce;3;0.038299502106472615
phipro95;3;0.038299502106472615
phylogeny;3;0.038299502106472615
platinpython;3;0.038299502106472615
jtk222;3;0.038299502106472615
sciwhiz12;3;0.038299502106472615
rhilenova;3;0.038299502106472615
rwtema;3;0.038299502106472615
nightenom;4;0.051066002808630155
crafterkina;4;0.051066002808630155
thesilkminer;4;0.051066002808630155
coderatparadise;4;0.051066002808630155
heldplayer;4;0.051066002808630155
su5ed;4;0.051066002808630155
simon816;4;0.051066002808630155
brandon3055;4;0.051066002808630155
shroomdog27;4;0.051066002808630155
redstonedubstep;4;0.051066002808630155
realmangorage;4;0.051066002808630155
magnushjensen;4;0.051066002808630155
abastro;4;0.051066002808630155
mysterious-dev;5;0.06383250351078769
onibait;5;0.06383250351078769
corosauce;5;0.06383250351078769
jt122406;5;0.06383250351078769
coehlrich;5;0.06383250351078769
bconlon1;5;0.06383250351078769
judge40;5;0.06383250351078769
ohyea777;5;0.06383250351078769
blaytheninth;5;0.06383250351078769
kovak;5;0.06383250351078769
latvianmodder;5;0.06383250351078769
mrp-v2;5;0.06383250351078769
bonii-xx;5;0.06383250351078769
sm0keysa1m0n;5;0.06383250351078769
ateranimavis;5;0.06383250351078769
parker8283;5;0.06383250351078769
jamieswhiteshirt;5;0.06383250351078769
dbotthepony;5;0.06383250351078769
technicianlp;5;0.06383250351078769
emberwalker;5;0.06383250351078769
ferriarnus;5;0.06383250351078769
eloraam;5;0.06383250351078769
zaggy1024;5;0.06383250351078769
sirttas;5;0.06383250351078769
ititus;6;0.07659900421294523
onelemonyboi;6;0.07659900421294523
technici4n;6;0.07659900421294523
tommy1019;6;0.07659900421294523
silverdavidmc;6;0.07659900421294523
draco18s;6;0.07659900421294523
telepathicgrunt;6;0.07659900421294523
meldexun;6;0.07659900421294523
cadiboo;6;0.07659900421294523
agnor99;6;0.07659900421294523
yunus1903;7;0.08936550491510277
maxanier;7;0.08936550491510277
pau101;7;0.08936550491510277
jonathing;7;0.08936550491510277
bloodmc;7;0.08936550491510277
noeppi-noeppi;7;0.08936550491510277
lumien231;8;0.10213200561726031
thecurle;8;0.10213200561726031
mithion;8;0.10213200561726031
supermartijn642;8;0.10213200561726031
minecraftschurli;9;0.11489850631941785
cech12;9;0.11489850631941785
scottkillen;9;0.11489850631941785
eerussianguy;9;0.11489850631941785
marvin-roesch;9;0.11489850631941785
adubbz;9;0.11489850631941785
killjoy1221;9;0.11489850631941785
lunatrius;9;0.11489850631941785
bl4ckscor3;10;0.12766500702157538
darkhax;10;0.12766500702157538
wyn-price;10;0.12766500702157538
xcompwiz;11;0.14043150772373295
jdlogic;11;0.14043150772373295
kashike;12;0.15319800842589046
covers1624;12;0.15319800842589046
pahimar;12;0.15319800842589046
amadornes;12;0.15319800842589046
machinemuse;12;0.15319800842589046
rainwarrior;13;0.165964509128048
algorithmx2;13;0.165964509128048
bspkrs;13;0.165964509128048
boq;13;0.165964509128048
choonster;14;0.17873100983020554
mcenderdragon;14;0.17873100983020554
malte0811;14;0.17873100983020554
josephcsible;14;0.17873100983020554
squiddev;15;0.19149751053236308
knightminer;17;0.21703051193667816
paintninja;17;0.21703051193667816
commoble;17;0.21703051193667816
kinglemming;18;0.2297970126388357
alcatrazescapee;19;0.24256351334099321
matyrobbrt;20;0.25533001404315075
gigaherz;23;0.29362951614962335
covertjaguar;24;0.3063960168517809
williewillus;25;0.3191625175539385
cyborgmas;26;0.331929018256096
sfplayer1;27;0.3446955189582535
marchermans;28;0.3574620196604111
daemonumbra;29;0.37022852036256865
ichun;29;0.37022852036256865
shadows-of-fire;35;0.44682752457551383
abrarsyed;38;0.48512702668198643
sizableshrimp;45;0.5744925315970892
pupnewfster;47;0.6000255330014044
ichttt;54;0.689391037916507
xfacthd;56;0.7149240393208222
diesieben07;115;1.468147580748117
mezz;158;2.0171071109408913
bs2609;179;2.2852036256861994
tterrag1098;212;2.7064981488573983
cpw;288;3.6767522022213712
lexmanos;2155;27.511809013149495
